Astrid,艾絲翠得,丹麥,神聖的力量；星星的。
Maud,穆得,日耳曼,強大的；力量。
Genevieve,珍妮芙,古威爾斯,金髮碧眼的人；白種人。
Edith,伊蒂絲,古英國,格鬥；戰爭。
Kama,卡瑪,印度,愛之神。
Hermosa,何蒙莎,西班牙,美麗。
Linda,琳達,西班牙,美麗的人。
Mirabelle,蜜拉貝兒,西班牙,非常美麗的。
Natividad,娜提雅維達,西班牙,在聖誕節出生的。
Rebecca,麗蓓卡,西班牙,圈套，迷人的美，陷阱。
Setlla,絲特勒,西班牙,星星。
Vita,維達,西班牙,指其生命之力，流過所有生靈的那種女人。
Xaviera,賽薇亞拉,西班牙,擁有新居，並善於保護新居的人。
Abigail,艾比蓋,希伯來,父親很高興；得意的父親。
Afra,阿芙拉,希伯來,塵土
Ann,安妮,希伯來,優雅的，仁慈的上帝。
Anna,安娜,希伯來,優雅
Bess,貝絲,希伯來,上帝是誓約。
Betsy,貝琪,希伯來,上帝是誓約。
Betty,貝蒂,希伯來,上帝是誓約。
Beulah,比尤萊,希伯來,已結婚的。
Dana,黛娜,希伯來,來自丹麥的人；神的母親；聰明且純潔的。
Debby,黛碧,希伯來,蜜蜂；蜂王。
Deborah,黛博拉,希伯來,蜜蜂；蜂王。
Dinah,黛娜,希伯來,被評判的人，雅各的女兒。
Eden,伊甸,希伯來,聖經中的樂園，歡樂之地。
Elizabeth,伊莉莎白,希伯來,上帝的誓約。
Esther,艾絲特,希伯來,星星
Eve,伊芙,希伯來,生命；賦予生命者生靈之母
Gabrielle,嘉比里拉,希伯來,上帝就是力量。
Hannah,漢娜,希伯來,優雅的。
Isabel,伊莎蓓爾,希伯來,上帝的誓約。
Jessie,婕西,希伯來,上帝的恩寵；財富。
Jessica,傑西嘉,希伯來,上帝的恩寵；財富。
Joanna,喬安娜,希伯來,上帝仁慈的贈禮。
Joanne,希伯來,希伯來,上帝仁慈的贈禮。
Jodie,喬蒂,希伯來,非常文靜；讚美。
Josephine,約瑟芬,希伯來,增強；多產的女子。
Judith,朱蒂斯,希伯來,讚美；文靜之女子。
Judy,朱蒂,希伯來,讚美。
Lilith,李莉斯,希伯來,屬於晚上的。
Lisa,麗莎,希伯來,對神奉獻。
Liz,莉斯,希伯來,上帝就是誓約。
Mamie,梅蜜,希伯來,反抗的苦澀；海之女。
Maria,瑪麗亞,希伯來,悲痛、苦味。
Mary,瑪麗,希伯來,反抗的苦澀；海之女。
Michelle,蜜雪兒,希伯來,紫菀花。
Michaelia,蜜雪莉雅,希伯來,似上帝的人。
Miriam,蜜莉恩,希伯來,憂傷；苦難之洋。
Molly,茉莉,希伯來,反抗的苦澀；海之女。
Muriel,穆麗兒,希伯來,悲痛、苦味；光明。
Nancy,南茜,希伯來,優雅、溫文；保母。
Naomi,娜娥迷,希伯來,我的欣喜；文雅美貌。
Polly,珀莉,希伯來,反抗的苦澀；海之女。
Rachel,瑞琪兒,希伯來,母羊或小羊；和善的、彬彬有禮的。
Rae,瑞伊,希伯來,母羊。
Renata,蕾娜塔,希伯來,再生的；更新，恢復。
Ruth,露絲　,希伯來,友誼；同情。
Sally,莎莉,希伯來,公主。
Salome,莎洛姆,希伯來,和平的，寧靜的。
Sara,莎拉,希伯來,公主。
Sarah,賽拉,希伯來,公主。
Simona,席夢娜,希伯來,被聽到。
Susan,蘇珊,希伯來,一朵小百合。
Susanna,蘇珊娜,希伯來,百合花。
Susie,蘇西,希伯來,百合花。
Suzanne,蘇珊,希伯來,一朵小百合。
Tobey,托比,希伯來,鴿子，美好的，有禮貌的
Zara,莎拉,希伯來,黎明。
Elsie,艾西,希伯來，希臘,上帝的誓約，誠實的。
Annabelle,安娜貝兒,希伯來，拉丁,美麗的女子；可愛的；和藹可親的。
Marian,瑪麗安,希伯來，拉丁,想要孩子的；優雅的。
Jane,珍,希伯來，法國,上帝是慈悲的；少女。
Janet,珍妮特,希伯來，法國,少女，上帝的恩賜
Janice,珍尼絲,希伯來，法國,少女；上帝是仁慈的。
Jenny,珍妮,希伯來，法國,少女。
Agatha,愛葛莎,希臘,善良而美好的
Alexia,亞莉克希亞,希臘,幫助
Alice,愛麗絲,希臘,尊貴的，真誠的
Althea,奧爾瑟雅,希臘,好預，醫治者。
Anastasia,阿娜絲塔西夏,希臘,再度振作起來之人，復活。
Andrea,安德莉亞,希臘,有氣概，美麗而優雅
