Harry,哈里,中世紀英國,戰爭，軍人。
Chasel,夏佐,古法國,獵人。
Ted,泰德,古英國,有錢的監護人。
Yale,耶魯,古英國,來自邊陲地帶。
Walter,瓦爾特,古德國，法國,指率領軍隊的人，或有權勢的戰士。
Xavier,賽維爾,西班牙,新房子的主人，光輝燦爛。
Aaron,艾倫,希伯來,巍然的高山；受神啟示的。
Abbott,艾布特,希伯來,父性的；偉大的精神。
Abner,艾布納,希伯來,睿智；有智慧　。
Abraham,亞伯拉罕,希伯來,崇高的父親；眾人之父。
Adam,亞當,希伯來,天下第一個男人，男性
Amos,亞摩斯,希伯來,任重道遠的人。
Asa,亞撒,希伯來,上帝的賜予；治愈者。
Ben,班,希伯來,兒子；山峰。
Benjamin,班傑明,希伯來,最喜愛的兒子；幸運的；雅各的小孩。
Christ,克萊斯特,希伯來,基督。
Daniel,丹尼爾,希伯來,上帝是我的仲判人。
Darnell,達尼爾,希伯來,上帝是我的仲判人。
Dave,迪夫,希伯來,所愛的人。
David,大衛,希伯來,所愛的人。
Eden,伊登,希伯來,伊甸園，光芒與快樂。
Eli,伊萊,希伯來,偉大，傑出。
Elijah,易萊哲,希伯來,耶和華就是上帝。
Ellis,艾理斯,希伯來,上帝是救世主。
Emmanuel,愛曼紐,希伯來,上帝與我們同在。
Gabriel,加布力爾,希伯來,上帝的男僕；上帝的力量是很力的。
Hiram,海勒,希伯來,身份地位高尚的；尊貴的。
Hyman,海曼,希伯來,生命。
Ira,艾勒,希伯來,警覺性高的人；未閹割的馬。
Isaac,艾薩克,希伯來,笑聲。
Jack,傑克,希伯來,上帝仁慈的贈禮。
Jacob,雅各,希伯來,取而代之者；跟隨者。
Jared,傑瑞德,希伯來,家世，血統，出身。
Jeremy,傑勒米,希伯來,上帝之崇高。
Jesse,傑西,希伯來,上帝的恩賜；上帝安在。
Jo,喬,希伯來,上帝還會賜予。
John,約翰,希伯來,上帝仁慈的賜恩。
Jonas,瓊納斯,希伯來,和平鴿。
Jonathan,強納生,希伯來,上帝賜予。
Joseph,約瑟夫,希伯來,上帝還會再賜予。
Joshua,喬休爾,希伯來,上帝所援救。
Levi,李維,希伯來,正聯合在一起。
Matt,馬特,希伯來,上帝的贈禮。
Matthew,馬休,希伯來,上帝的贈禮。
Michael,麥克,希伯來,像上帝的人。
Mick,密克,希伯來,像上帝的人。
Mike,麥克,希伯來,像上帝的人。
Moses,摩西,希伯來,從海中救人的人；小孩。
Nat,納特,希伯來,禮物。
Nathan,奈登,希伯來,贈予者。
Nathaniel,奈寶尼爾,希伯來,上帝的贈禮。
Noah,諾亞,希伯來,鎮靜的，靜止的，或平安的。
Rachel,雷契爾,希伯來,母羊。
Sam,山姆,希伯來,上帝之名。
Sampson,辛普森,希伯來,高的智慧和力量，太陽的。
Samuel,撒姆爾,希伯來,上帝之名。
Simon,賽門,希伯來,聆德，扁鼻子的。
Solomon,所羅門,希伯來,和平，平安。
Uriah,尤萊亞,希伯來,耶穌是光之所在。
Yehudi,耶呼弟,希伯來,膜拜上帝的人。
Zachary,扎克利,希伯來,為上帝所心儀的人。
Zebulon,紀伯倫,希伯來,居處，住宅。
Benson,班森,希伯來，英國,具有其父般性格人。
Adonis,亞度尼斯,希臘,美男子。
Alexander,亞歷山大,希臘,人類的保護者；人的幫手。
Andrew,安德魯,希臘,男性的，勇敢的，驍勇的。
Andy,安迪,希臘,男性的，勇敢的，驍勇的。
Barlow,巴羅,希臘,住山中的人。
Bartholomew,巴薩羅穆,希臘,是耶穌的十二門徒之一；農田之子。
Bart,巴特,希臘,是耶穌的十二門徒之一。
Christian,克里斯汀,希臘,基督的追隨者，信徒。
Christopher,克里斯多夫,希臘,基督的信差或僕人，表基督徒之意。
Cyril,西瑞爾,希臘,貴族的。
Dennis,鄧尼斯,希臘,希臘的酒神。
George,喬治,希臘,農夫。
Giles,賈艾斯,希臘,持盾之人。
Greg,葛列格,希臘,警覺之人。
Gregary,葛列格里,希臘,警覺之人。
Isidore,伊西多,希臘,女神愛色斯的禮物。
Jason,傑森,希臘,治愈傷口的人；具備豐富知識的人。
Julian,朱利安,希臘,頭髮柔軟的，也代表年青人。
Julius,朱利爾斯,希臘,頭髮柔軟的，毛茸茸的。
Leo,利奧,希臘,獅；勇士。
Myron,麥倫,希臘,芳香的；甜的，芳香的。
Nicholas,尼克勒斯,希臘,勝利者。
Nick,尼克,希臘,勝利者。
Otis,奧狄斯,希臘,聽覺敏銳。
Page,裴吉,希臘,孩子。
Pete,皮特,希臘,岩石，石頭。
Peter,彼得,希臘,岩石，石頭。
Phil,菲爾,希臘,愛馬者。
Philip,菲力浦,希臘,戰士；好戰的或尚武的；愛馬者。
Reuben,魯賓,希臘,一個兒子！新生者。
Sebastian,夕巴斯汀,希臘,受尊敬的，莊嚴的。
Theodore,希歐多爾,希臘,神的贈禮或上帝的贈禮。
Tim,堤姆,希臘,敬神或畏神。
Timothy,帝摩斯,希臘,敬神或畏神。
Tobias,托拜西,希臘,上帝是我信仰的神。
Toby,托比,希臘,上帝是我信仰的神。
Tyrone,泰倫,希臘,領主或統治者。
Ulysses,尤里西斯,希臘,智勇雙主，懷恨者。
Enoch,伊諾克,希臘，希伯來,追隨者；虔誠的。
Gene,吉恩,希臘，拉丁,有高貴血統的。
Eugene,尤金,希臘、拉丁,有高貴血統的。
Abel,亞伯,拉丁,生命；呼吸。
Adrian,亞德里恩,拉丁,傍亞德裡亞海而居之人。
Alva,阿爾瓦,拉丁,白種人的；金髮碧眼的。
Antony,安東尼,拉丁,值得讚美，備受尊崇的。
Antonio,安東尼奧,拉丁,值得讚美，備受尊崇的。
Aries,亞力士,拉丁,公羊。
August,奧格斯格,拉丁,神聖的、尊崇的或身份高尚的人；八月。
Augustine,奧古斯汀,拉丁,指八月出生的人。
Basil,巴澤爾,拉丁,像國王的。
Benedict,班尼迪克,拉丁,受祝福的；能言善道的；神聖的。
Bennett,班奈特,拉丁,受祝福的人。
Caesar,凱撒,拉丁,皇帝；毛茸茸的。
Calvin,卡爾文,拉丁,禿頭的。
Cash,凱希,拉丁,愛慕虛榮者，現金。
Cecil,塞西爾,拉丁,視力朦朧的。
Clare,克雷爾,拉丁,頭腦清楚的。
